username,in_reply_to_screen_name,full_text,Cleaned_Text,Tokenized_Text,Formalized_Text,Stopword_Removed_Text,Stemmed_Text,BERT_Label,VADER_Label
manemismem,oregairuv,@oregairuvv plis jangan masuk sains data. ini sebuah peringatan. https://t.co/rXSFwugp30,oregairuvv plis jangan masuk sains data ini sebuah peringatan,"['oregairuvv', 'plis', 'jangan', 'masuk', 'sains', 'data', 'ini', 'sebuah', 'peringatan']","['oregairuvv', 'plis', 'jangan', 'masuk', 'sains', 'data', 'ini', 'sebuah', 'peringatan']",oregairuvv plis masuk sains data peringatan,"['oregairuvv', 'plis', 'masuk', 'sains', 'data', 'ingat']",neutral,neutral
manemismem,drakulakuota,@drakulakuota coba dijauhin biar dingin,drakulakuota coba dijauhin biar dingin,"['drakulakuota', 'coba', 'dijauhin', 'biar', 'dingin']","['drakulakuota', 'coba', 'dijauhin', 'biar', 'dingin']",drakulakuota dijauhin dingin,"['drakulakuota', 'dijauhin', 'dingin']",negative,neutral
DtKhalid1,kumparan,@kumparan Lupa ya stunting itu hanya di era 10 tahun terakhir,kumparan lupa ya stunting itu hanya di era tahun terakhir,"['kumparan', 'lupa', 'ya', 'stunting', 'itu', 'hanya', 'di', 'era', 'tahun', 'terakhir']","['kumparan', 'lupa', 'iya', 'stunting', 'itu', 'cuma', 'di', 'era', 'tahun', 'terakhir']",kumparan lupa stunting era,"['kumpar', 'lupa', 'stunting', 'era']",negative,neutral
azachamew,azachamew,Masa dulu anaknya yang masih bayi dikasih kayak biskuit (kalau ga salah inget). Iya sama orang Sukabumi alias si cewe dan keluarganya kasian anaknya. Bahkan sekarang aja anaknya stunting. Haha.,masa dulu anaknya yang masih bayi dikasih kayak biskuit kalau ga salah inget iya sama orang sukabumi alias si cewe dan keluarganya kasian anaknya bahkan sekarang aja anaknya stunting haha,"['masa', 'dulu', 'anaknya', 'yang', 'masih', 'bayi', 'dikasih', 'kayak', 'biskuit', 'kalau', 'ga', 'salah', 'inget', 'iya', 'sama', 'orang', 'sukabumi', 'alias', 'si', 'cewe', 'dan', 'keluarganya', 'kasian', 'anaknya', 'bahkan', 'sekarang', 'aja', 'anaknya', 'stunting', 'haha']","['masa', 'dulu', 'anaknya', 'yang', 'masih', 'bayi', 'dikasih', 'kayak', 'biskuit', 'kalau', 'ga', 'salah', 'inget', 'iya', 'sama', 'orang', 'sukabumi', 'alias', 'si', 'cewek', 'dan', 'keluarganya', 'kasian', 'anaknya', 'bahkan', 'sekarang', 'saja', 'anaknya', 'stunting', 'tertawa']",anaknya bayi dikasih kayak biskuit salah inget orang sukabumi alias cewek keluarganya kasian anaknya anaknya stunting tertawa,"['anak', 'bayi', 'kasih', 'kayak', 'biskuit', 'salah', 'inget', 'orang', 'sukabumi', 'alias', 'cewek', 'keluarga', 'kasi', 'anak', 'anak', 'stunting', 'tertawa']",neutral,neutral
PasTIGAma2024,naylaodre,@nanath27 @Chavesz08 @Ndons_Back @Bank_Joee_ @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @DarekaRendy @Kimberley_PS08 @jatmiko99604253 Otak lo yg stunting.. Gobloknya kebangetan.. Lo pikir jika pa Maruf Amin tiba2 sakit perut terus Gibran ga bole hadir di Pelantikan anggota MPR DPR dan DPD‍️ Didiet anak Presiden terpilih dan Menhan saja bisa hadir.. Blok.. Blok..,ndons back bank joee are inismyname florieliciouss bangsaygsujud darekarendy kimberley otak lo yg stunting gobloknya kebangetan lo pikir jika pa maruf amin sakit perut terus gibran ga bole hadir di pelantikan anggota mpr dpr dan dpd didiet anak presiden terpilih dan menhan saja bisa hadir blok blok,"['ndons', 'back', 'bank', 'joee', 'are', 'inismyname', 'florieliciouss', 'bangsaygsujud', 'darekarendy', 'kimberley', 'otak', 'lo', 'yg', 'stunting', 'gobloknya', 'kebangetan', 'lo', 'pikir', 'jika', 'pa', 'maruf', 'amin', 'sakit', 'perut', 'terus', 'gibran', 'ga', 'bole', 'hadir', 'di', 'pelantikan', 'anggota', 'mpr', 'dpr', 'dan', 'dpd', 'didiet', 'anak', 'presiden', 'terpilih', 'dan', 'menhan', 'saja', 'bisa', 'hadir', 'blok', 'blok']","['ndons', 'back', 'bank', 'joee', 'are', 'inismyname', 'florieliciouss', 'bangsaygsujud', 'darekarendy', 'kimberley', 'otak', 'kamu', 'yang', 'stunting', 'gobloknya', 'kebangetan', 'kamu', 'pikir', 'jika', 'pa', 'maruf', 'amin', 'sakit', 'perut', 'terus', 'gibran', 'ga', 'boleh', 'hadir', 'di', 'pelantikan', 'anggota', 'mpr', 'dpr', 'dan', 'dpd', 'didiet', 'anak', 'presiden', 'terpilih', 'dan', 'menhan', 'saja', 'bisa', 'hadir', 'blok', 'blok']",ndons back bank joee are inismyname florieliciouss bangsaygsujud darekarendy kimberley otak stunting gobloknya kebangetan pikir pa maruf amin perut gibran hadir pelantikan anggota mpr dpr dpd didiet anak presiden terpilih menhan hadir blok blok,"['ndons', 'back', 'bank', 'joee', 'are', 'inismyname', 'florieliciouss', 'bangsaygsujud', 'darekarendy', 'kimberley', 'otak', 'stunting', 'goblok', 'banget', 'pikir', 'pa', 'maruf', 'amin', 'perut', 'gibran', 'hadir', 'lantik', 'anggota', 'mpr', 'dpr', 'dpd', 'diet', 'anak', 'presiden', 'pilih', 'menhan', 'hadir', 'blok', 'blok']",neutral,neutral
naylaodre,Chavesz08,@Chavesz08 @Ndons_Back @PasTIGAma2024 @Bank_Joee_ @are_inismyname @florieliciouss @BANGSAygSUJUD @99propaganda @DarekaRendy @Kimberley_PS08 @jatmiko99604253 stunting otaknya,ndons back bank joee are inismyname florieliciouss bangsaygsujud darekarendy kimberley stunting otaknya,"['ndons', 'back', 'bank', 'joee', 'are', 'inismyname', 'florieliciouss', 'bangsaygsujud', 'darekarendy', 'kimberley', 'stunting', 'otaknya']","['ndons', 'back', 'bank', 'joee', 'are', 'inismyname', 'florieliciouss', 'bangsaygsujud', 'darekarendy', 'kimberley', 'stunting', 'otaknya']",ndons back bank joee are inismyname florieliciouss bangsaygsujud darekarendy kimberley stunting otaknya,"['ndons', 'back', 'bank', 'joee', 'are', 'inismyname', 'florieliciouss', 'bangsaygsujud', 'darekarendy', 'kimberley', 'stunting', 'otak']",neutral,neutral
lilsuguru,onifess,@onifess stunting sih engga nder tapi kalo penyakitan iya,onifess stunting sih engga nder tapi kalo penyakitan iya,"['onifess', 'stunting', 'sih', 'engga', 'nder', 'tapi', 'kalo', 'penyakitan', 'iya']","['onifess', 'stunting', 'sih', 'engga', 'nder', 'tetapi', 'kalau', 'penyakitan', 'iya']",onifess stunting engga nder penyakitan,"['onifess', 'stunting', 'engga', 'nder', 'sakit']",negative,neutral
momomeowclub,lucianadombret,@lucianadombret Luci katanya kamu stunting dongg ,lucianadombret luci katanya kamu stunting dongg,"['lucianadombret', 'luci', 'katanya', 'kamu', 'stunting', 'dongg']","['lucianadombret', 'luci', 'katanya', 'kamu', 'stunting', 'dongg']",lucianadombret luci stunting dongg,"['lucianadombret', 'luci', 'stunting', 'dongg']",negative,neutral
toiletkost,sosmedkeras,@sosmedkeras kegiatan tolol yang disenangi masyarakat stunting,sosmedkeras kegiatan tolol yang disenangi masyarakat stunting,"['sosmedkeras', 'kegiatan', 'tolol', 'yang', 'disenangi', 'masyarakat', 'stunting']","['sosmedkeras', 'kegiatan', 'tolol', 'yang', 'disenangi', 'masyarakat', 'stunting']",sosmedkeras kegiatan tolol disenangi masyarakat stunting,"['sosmedkeras', 'giat', 'tolol', 'nang', 'masyarakat', 'stunting']",negative,neutral
lucianadombret,momomeowclub,@momomeowclub Biar cepet gede ga kaya Luci stunting,momomeowclub biar cepet gede ga kaya luci stunting,"['momomeowclub', 'biar', 'cepet', 'gede', 'ga', 'kaya', 'luci', 'stunting']","['momomeowclub', 'biar', 'cepat', 'gede', 'ga', 'kaya', 'luci', 'stunting']",momomeowclub cepat gede kaya luci stunting,"['momomeowclub', 'cepat', 'gede', 'kaya', 'luci', 'stunting']",negative,neutral
lucianadombret,Clayrila_,@Clayrila_ Anak stunting mana mungkin besar,clayrila anak stunting mana mungkin besar,"['clayrila', 'anak', 'stunting', 'mana', 'mungkin', 'besar']","['clayrila', 'anak', 'stunting', 'mana', 'mungkin', 'besar']",clayrila anak stunting,"['clayrila', 'anak', 'stunting']",negative,neutral
ilovejakartasm,ilovejakartasm,gue liat di kampus banyak bgt cowok pendek KAYAK INDONESIA BENAR-BENAR NEGARA STUNTING,gue liat di kampus banyak bgt cowok pendek kayak indonesia benar benar negara stunting,"['gue', 'liat', 'di', 'kampus', 'banyak', 'bgt', 'cowok', 'pendek', 'kayak', 'indonesia', 'benar', 'benar', 'negara', 'stunting']","['saya', 'lihat', 'di', 'kampus', 'banyak', 'banget', 'laki-laki', 'pendek', 'kayak', 'indonesia', 'benar', 'benar', 'negara', 'stunting']",lihat kampus banget lakilaki pendek kayak indonesia negara stunting,"['lihat', 'kampus', 'banget', 'lakilaki', 'pendek', 'kayak', 'indonesia', 'negara', 'stunting']",negative,neutral
Radaimond,hafizha_anisa,@hafizha_anisa Program Makan Siang nasional Karena IQ warga Indonesia TER RENDAH se Asia Sebagai akibat nya ... Hal ini juga berpengaruh pada Kesehatan warga Indonesia misalnya : Stunting dst.,hafizha anisa program makan siang nasional karena iq warga indonesia ter rendah se asia sebagai akibat nya hal ini juga berpengaruh pada kesehatan warga indonesia misalnya stunting dst,"['hafizha', 'anisa', 'program', 'makan', 'siang', 'nasional', 'karena', 'iq', 'warga', 'indonesia', 'ter', 'rendah', 'se', 'asia', 'sebagai', 'akibat', 'nya', 'hal', 'ini', 'juga', 'berpengaruh', 'pada', 'kesehatan', 'warga', 'indonesia', 'misalnya', 'stunting', 'dst']","['hafizha', 'anisa', 'program', 'makan', 'siang', 'nasional', 'karena', 'iq', 'warga', 'indonesia', 'ter', 'rendah', 'se', 'asia', 'sebagai', 'akibat', 'nya', 'hal', 'ini', 'ya', 'berpengaruh', 'pada', 'kesehatan', 'warga', 'indonesia', 'misalnya', 'stunting', 'dan seterusnya']",hafizha anisa program siang nasional iq warga indonesia ter rendah asia akibat berpengaruh kesehatan warga indonesia stunting,"['hafizha', 'anisa', 'program', 'siang', 'nasional', 'iq', 'warga', 'indonesia', 'ter', 'rendah', 'asia', 'akibat', 'pengaruh', 'sehat', 'warga', 'indonesia', 'stunting']",neutral,neutral
kotajakpus,kotajakpus,Kegiatan ini merupakan bentuk ajakan kepada warga dan balita untuk gemar makan ikan. Kegiatan ini baik untuk para balita agar mencegah stunting sekaligus menambah gizi balita dengan kegiatan Gemarikan. Pada kegiatan ini olahan berupa nugget ikan diberikan kepada 120 balita. https://t.co/tIoYdLEWGL,kegiatan ini merupakan bentuk ajakan kepada warga dan balita untuk gemar makan ikan kegiatan ini baik untuk para balita agar mencegah stunting sekaligus menambah gizi balita dengan kegiatan gemarikan pada kegiatan ini olahan berupa nugget ikan diberikan kepada balita,"['kegiatan', 'ini', 'merupakan', 'bentuk', 'ajakan', 'kepada', 'warga', 'dan', 'balita', 'untuk', 'gemar', 'makan', 'ikan', 'kegiatan', 'ini', 'baik', 'untuk', 'para', 'balita', 'agar', 'mencegah', 'stunting', 'sekaligus', 'menambah', 'gizi', 'balita', 'dengan', 'kegiatan', 'gemarikan', 'pada', 'kegiatan', 'ini', 'olahan', 'berupa', 'nugget', 'ikan', 'diberikan', 'kepada', 'balita']","['kegiatan', 'ini', 'merupakan', 'bentuk', 'ajakan', 'kepada', 'warga', 'dan', 'balita', 'untuk', 'gemar', 'makan', 'ikan', 'kegiatan', 'ini', 'baik', 'untuk', 'para', 'balita', 'agar', 'mencegah', 'stunting', 'sekaligus', 'menambah', 'gizi', 'balita', 'dengan', 'kegiatan', 'gemarikan', 'pada', 'kegiatan', 'ini', 'olahan', 'berupa', 'nugget', 'ikan', 'diberikan', 'kepada', 'balita']",kegiatan bentuk ajakan warga balita gemar ikan kegiatan balita mencegah stunting menambah gizi balita kegiatan gemarikan kegiatan olahan nugget ikan balita,"['giat', 'bentuk', 'aja', 'warga', 'balita', 'gemar', 'ikan', 'giat', 'balita', 'cegah', 'stunting', 'tambah', 'gizi', 'balita', 'giat', 'gari', 'giat', 'olah', 'nugget', 'ikan', 'balita']",neutral,neutral
mencopot,onifess,@onifess coba aj dibiarkan stunting,onifess coba aj dibiarkan stunting,"['onifess', 'coba', 'aj', 'dibiarkan', 'stunting']","['onifess', 'coba', 'saja', 'dibiarkan', 'stunting']",onifess dibiarkan stunting,"['onifess', 'biar', 'stunting']",negative,neutral
manemismem,kegblgnunfaedh,@kegblgnunfaedh satpamnya bilekk ehh ini jobdesk ku bukan yahh ,kegblgnunfaedh satpamnya bilekk ehh ini jobdesk ku bukan yahh,"['kegblgnunfaedh', 'satpamnya', 'bilekk', 'ehh', 'ini', 'jobdesk', 'ku', 'bukan', 'yahh']","['kegblgnunfaedh', 'satpamnya', 'bilekk', 'ehh', 'ini', 'jobdesk', 'ku', 'bukan', 'yahh']",kegblgnunfaedh satpamnya bilekk ehh jobdesk ku yahh,"['kegblgnunfaedh', 'satpam', 'bilekk', 'ehh', 'jobdesk', 'ku', 'yahh']",negative,neutral
_rtaufani,i_am_semesta,@CineManiaXX @garagarabola_ Lebih ke stunting sih ,cinemaniaxx garagarabola lebih ke stunting sih,"['cinemaniaxx', 'garagarabola', 'lebih', 'ke', 'stunting', 'sih']","['cinemaniaxx', 'garagarabola', 'lebih', 'ke', 'stunting', 'sih']",cinemaniaxx garagarabola stunting,"['cinemaniaxx', 'garagarabola', 'stunting']",negative,neutral
UnpetitG,Ndrewstjan,@AndrewsTjan Pemikiran yg sungguh stunting,andrewstjan pemikiran yg sungguh stunting,"['andrewstjan', 'pemikiran', 'yg', 'sungguh', 'stunting']","['andrewstjan', 'pemikiran', 'yang', 'sungguh', 'stunting']",andrewstjan pemikiran sungguh stunting,"['andrewstjan', 'pikir', 'sungguh', 'stunting']",negative,neutral
xadar215727,Chynthia_K,@Chynthia_K Liat muka nya yang ngomong keliatan jauh dari stunting tapi bukan dari penalaran pemikiran dan yang diungkapkan. Sangat dekat dengan ciri ciri stunting. Namun apa daya diperbaiki sekarangpun terlambat sudah https://t.co/b9weUAvQrL,chynthia k liat muka nya yang ngomong keliatan jauh dari stunting tapi bukan dari penalaran pemikiran dan yang diungkapkan sangat dekat dengan ciri ciri stunting namun apa daya diperbaiki sekarangpun terlambat sudah,"['chynthia', 'k', 'liat', 'muka', 'nya', 'yang', 'ngomong', 'keliatan', 'jauh', 'dari', 'stunting', 'tapi', 'bukan', 'dari', 'penalaran', 'pemikiran', 'dan', 'yang', 'diungkapkan', 'sangat', 'dekat', 'dengan', 'ciri', 'ciri', 'stunting', 'namun', 'apa', 'daya', 'diperbaiki', 'sekarangpun', 'terlambat', 'sudah']","['chynthia', 'ke', 'lihat', 'muka', 'nya', 'yang', 'bicara', 'kelihatan', 'jauh', 'dari', 'stunting', 'tetapi', 'bukan', 'dari', 'penalaran', 'pemikiran', 'dan', 'yang', 'diungkapkan', 'sangat', 'dekat', 'dengan', 'ciri', 'ciri', 'stunting', 'namun', 'apa', 'daya', 'diperbaiki', 'sekarangpun', 'terlambat', 'sudah']",chynthia lihat muka stunting penalaran pemikiran ciri ciri stunting daya diperbaiki sekarangpun terlambat,"['chynthia', 'lihat', 'muka', 'stunting', 'nalar', 'pikir', 'ciri', 'ciri', 'stunting', 'daya', 'baik', 'sekarang', 'lambat']",negative,neutral
ditditgli,Shinsstudio,@Shinsstudio Brarti mereka bisa memanfaatkan momentum tsb dengan melakukan program untuk mengurangi angka stunting semaksimal mungkin Hasilnya udah terlihat sekarang,shinsstudio brarti mereka bisa memanfaatkan momentum tsb dengan melakukan program untuk mengurangi angka stunting semaksimal mungkin hasilnya udah terlihat sekarang,"['shinsstudio', 'brarti', 'mereka', 'bisa', 'memanfaatkan', 'momentum', 'tsb', 'dengan', 'melakukan', 'program', 'untuk', 'mengurangi', 'angka', 'stunting', 'semaksimal', 'mungkin', 'hasilnya', 'udah', 'terlihat', 'sekarang']","['shinsstudio', 'brarti', 'mereka', 'bisa', 'memanfaatkan', 'momentum', 'tsb', 'dengan', 'melakukan', 'program', 'untuk', 'mengurangi', 'angka', 'stunting', 'semaksimal', 'mungkin', 'hasilnya', 'sudah', 'terlihat', 'sekarang']",shinsstudio brarti memanfaatkan momentum tsb program mengurangi angka stunting semaksimal hasilnya,"['shinsstudio', 'brarti', 'manfaat', 'momentum', 'tsb', 'program', 'kurang', 'angka', 'stunting', 'maksimal', 'hasil']",positive,neutral
safeedgulaab,audee84,@audee84 Sedih bgt karena mamaku tuh kerja keras biar orang2 di desa teredukasi dan pelan2 angka stunting diusahain turun Eeehh dihancurin sama yang bikin program Asu emang,sedih bgt karena mamaku tuh kerja keras biar di desa teredukasi dan angka stunting diusahain turun eeehh dihancurin sama yang bikin program asu emang,"['sedih', 'bgt', 'karena', 'mamaku', 'tuh', 'kerja', 'keras', 'biar', 'di', 'desa', 'teredukasi', 'dan', 'angka', 'stunting', 'diusahain', 'turun', 'eeehh', 'dihancurin', 'sama', 'yang', 'bikin', 'program', 'asu', 'emang']","['sedih', 'banget', 'karena', 'mamaku', 'tuh', 'kerja', 'keras', 'biar', 'di', 'desa', 'teredukasi', 'dan', 'angka', 'stunting', 'diusahain', 'turun', 'eeehh', 'dihancurin', 'sama', 'yang', 'bikin', 'program', 'asu', 'memang']",sedih banget mamaku kerja keras desa teredukasi angka stunting diusahain turun eeehh dihancurin program asu,"['sedih', 'banget', 'mama', 'kerja', 'keras', 'desa', 'edukasi', 'angka', 'stunting', 'diusahain', 'turun', 'eeehh', 'dihancurin', 'program', 'asu']",negative,neutral
audee84,safeedgulaab,@safeedgulaab Awokwokwok makan tu program penurunan stunting. Bokis doang,safeedgulaab awokwokwok makan tu program penurunan stunting bokis doang,"['safeedgulaab', 'awokwokwok', 'makan', 'tu', 'program', 'penurunan', 'stunting', 'bokis', 'doang']","['safeedgulaab', 'awokwokwok', 'makan', 'tu', 'program', 'penurunan', 'stunting', 'bohong', 'doang']",safeedgulaab awokwokwok tu program penurunan stunting bohong doang,"['safeedgulaab', 'awokwokwok', 'tu', 'program', 'turun', 'stunting', 'bohong', 'doang']",negative,neutral
hanan052020,harassrude,@harassrude @brin_indonesia Itu sebagai pangan fungsional untuk stunting.. Kl tujuaannya itu ya tetap bisa diprediksi akan gatot ,harassrude brin indonesia itu sebagai pangan fungsional untuk stunting kl tujuaannya itu ya tetap bisa diprediksi akan gatot,"['harassrude', 'brin', 'indonesia', 'itu', 'sebagai', 'pangan', 'fungsional', 'untuk', 'stunting', 'kl', 'tujuaannya', 'itu', 'ya', 'tetap', 'bisa', 'diprediksi', 'akan', 'gatot']","['harassrude', 'brin', 'indonesia', 'itu', 'sebagai', 'pangan', 'fungsional', 'untuk', 'stunting', 'kalau', 'tujuaannya', 'itu', 'iya', 'tetap', 'bisa', 'diprediksi', 'akan', 'gatot']",harassrude brin indonesia pangan fungsional stunting tujuaannya diprediksi gatot,"['harassrude', 'brin', 'indonesia', 'pangan', 'fungsional', 'stunting', 'tujuaannya', 'prediksi', 'gatot']",neutral,neutral
akuteguh5,akuteguh5, Kita akan jadi negara adidaya nggak boleh ada stunting yang membuat otak lemot badannya pendek tapi memang tidak semua badannya pendek itu stunting.,kita akan jadi negara adidaya nggak boleh ada stunting yang membuat otak lemot badannya pendek tapi memang tidak semua badannya pendek itu stunting,"['kita', 'akan', 'jadi', 'negara', 'adidaya', 'nggak', 'boleh', 'ada', 'stunting', 'yang', 'membuat', 'otak', 'lemot', 'badannya', 'pendek', 'tapi', 'memang', 'tidak', 'semua', 'badannya', 'pendek', 'itu', 'stunting']","['kita', 'akan', 'jadi', 'negara', 'adidaya', 'tidak', 'boleh', 'ada', 'stunting', 'yang', 'membuat', 'otak', 'lambat', 'badannya', 'pendek', 'tetapi', 'memang', 'tidak', 'semua', 'badannya', 'pendek', 'itu', 'stunting']",negara adidaya stunting otak lambat badannya pendek badannya pendek stunting,"['negara', 'adidaya', 'stunting', 'otak', 'lambat', 'badan', 'pendek', 'badan', 'pendek', 'stunting']",negative,neutral
akuteguh5,akuteguh5,Maka itu kata Ridwan Kamil Program Makan Gratis presiden terpilih Prabowo Subianto bisa menjadi jalan keluar untuk membebaskan anak-anak dari stunting.,maka itu kata ridwan kamil program makan gratis presiden terpilih prabowo subianto bisa menjadi jalan keluar untuk membebaskan anak anak dari stunting,"['maka', 'itu', 'kata', 'ridwan', 'kamil', 'program', 'makan', 'gratis', 'presiden', 'terpilih', 'prabowo', 'subianto', 'bisa', 'menjadi', 'jalan', 'keluar', 'untuk', 'membebaskan', 'anak', 'anak', 'dari', 'stunting']","['maka', 'itu', 'kata', 'ridwan', 'kamil', 'program', 'makan', 'gratis', 'presiden', 'terpilih', 'prabowo', 'subianto', 'bisa', 'menjadi', 'jalan', 'keluar', 'untuk', 'membebaskan', 'anak', 'anak', 'dari', 'stunting']",ridwan kamil program gratis presiden terpilih prabowo subianto jalan membebaskan anak anak stunting,"['ridwan', 'kamil', 'program', 'gratis', 'presiden', 'pilih', 'prabowo', 'subianto', 'jalan', 'bebas', 'anak', 'anak', 'stunting']",neutral,positive
akuteguh5,akuteguh5,Selanjutnya untuk menuju negara adidaya Indonesia harus terbebas dari stunting. Menurut dia tidak boleh ada lagi ada anak-anak Indonesia yang mengalami kekurangan gizi.,selanjutnya untuk menuju negara adidaya indonesia harus terbebas dari stunting menurut dia tidak boleh ada lagi ada anak anak indonesia yang mengalami kekurangan gizi,"['selanjutnya', 'untuk', 'menuju', 'negara', 'adidaya', 'indonesia', 'harus', 'terbebas', 'dari', 'stunting', 'menurut', 'dia', 'tidak', 'boleh', 'ada', 'lagi', 'ada', 'anak', 'anak', 'indonesia', 'yang', 'mengalami', 'kekurangan', 'gizi']","['selanjutnya', 'untuk', 'menuju', 'negara', 'adidaya', 'indonesia', 'harus', 'terbebas', 'dari', 'stunting', 'menurut', 'dia', 'tidak', 'boleh', 'ada', 'lagi', 'ada', 'anak', 'anak', 'indonesia', 'yang', 'mengalami', 'kekurangan', 'gizi']",negara adidaya indonesia terbebas stunting anak anak indonesia mengalami kekurangan gizi,"['negara', 'adidaya', 'indonesia', 'bebas', 'stunting', 'anak', 'anak', 'indonesia', 'alami', 'kurang', 'gizi']",neutral,neutral
inang_hasiholan,inang_hasiholan, Karena stunting bukan hanya masalah gizi tapi masalah lingkungan juga.,karena stunting bukan hanya masalah gizi tapi masalah lingkungan juga,"['karena', 'stunting', 'bukan', 'hanya', 'masalah', 'gizi', 'tapi', 'masalah', 'lingkungan', 'juga']","['karena', 'stunting', 'bukan', 'cuma', 'masalah', 'gizi', 'tetapi', 'masalah', 'lingkungan', 'ya']",stunting gizi lingkungan,"['stunting', 'gizi', 'lingkung']",positive,neutral
inang_hasiholan,inang_hasiholan,Itu banyak cacing-cacing ini bisa berakibat pada anak-anak dengan stunting ujar Hashim.,itu banyak cacing cacing ini bisa berakibat pada anak anak dengan stunting ujar hashim,"['itu', 'banyak', 'cacing', 'cacing', 'ini', 'bisa', 'berakibat', 'pada', 'anak', 'anak', 'dengan', 'stunting', 'ujar', 'hashim']","['itu', 'banyak', 'cacing', 'cacing', 'ini', 'bisa', 'berakibat', 'pada', 'anak', 'anak', 'dengan', 'stunting', 'ujar', 'hashim']",cacing cacing berakibat anak anak stunting hashim,"['cacing', 'cacing', 'akibat', 'anak', 'anak', 'stunting', 'hashim']",neutral,neutral
inang_hasiholan,inang_hasiholan,Dia menyebut jika hal itu dialami ibu hamil dan anak akan berpotensi mengakibatkan stunting.,dia menyebut jika hal itu dialami ibu hamil dan anak akan berpotensi mengakibatkan stunting,"['dia', 'menyebut', 'jika', 'hal', 'itu', 'dialami', 'ibu', 'hamil', 'dan', 'anak', 'akan', 'berpotensi', 'mengakibatkan', 'stunting']","['dia', 'menyebut', 'jika', 'hal', 'itu', 'dialami', 'ibu', 'hamil', 'dan', 'anak', 'akan', 'berpotensi', 'mengakibatkan', 'stunting']",menyebut dialami hamil anak berpotensi mengakibatkan stunting,"['sebut', 'alami', 'hamil', 'anak', 'potensi', 'akibat', 'stunting']",neutral,neutral
anakayam2121,audee84,@audee84 beli telor buat protein aja sekarang udh mahal banget apalagi daerah yg jauh sama laut ikan juga mahal gimana gak stunting,beli telor buat protein aja sekarang udh mahal banget apalagi daerah yg jauh sama laut ikan juga mahal gimana gak stunting,"['beli', 'telor', 'buat', 'protein', 'aja', 'sekarang', 'udh', 'mahal', 'banget', 'apalagi', 'daerah', 'yg', 'jauh', 'sama', 'laut', 'ikan', 'juga', 'mahal', 'gimana', 'gak', 'stunting']","['beli', 'telor', 'buat', 'protein', 'saja', 'sekarang', 'udh', 'mahal', 'sangat', 'apalagi', 'daerah', 'yang', 'jauh', 'sama', 'laut', 'ikan', 'ya', 'mahal', 'bagaimana', 'gak', 'stunting']",beli telor protein udh mahal daerah laut ikan mahal stunting,"['beli', 'telor', 'protein', 'udh', 'mahal', 'daerah', 'laut', 'ikan', 'mahal', 'stunting']",negative,neutral
safeedgulaab,audee84,@audee84 Bacot bgt bikin penurunan stunting jadi program utama Tapi harga bahan pangan pada dinaikin aowkwoakako,bacot bgt bikin penurunan stunting jadi program utama tapi harga bahan pangan pada dinaikin aowkwoakako,"['bacot', 'bgt', 'bikin', 'penurunan', 'stunting', 'jadi', 'program', 'utama', 'tapi', 'harga', 'bahan', 'pangan', 'pada', 'dinaikin', 'aowkwoakako']","['banyak bicara', 'banget', 'bikin', 'penurunan', 'stunting', 'jadi', 'program', 'utama', 'tetapi', 'harga', 'bahan', 'pangan', 'pada', 'dinaikin', 'aowkwoakako']",banget penurunan stunting program utama harga bahan pangan dinaikin aowkwoakako,"['banget', 'turun', 'stunting', 'program', 'utama', 'harga', 'bahan', 'pangan', 'dinaikin', 'aowkwoakako']",neutral,neutral
combipharID,combipharID,Acara dikemas melalui talkshow kesehatan yang dibawakan oleh dr Herbowo Agung F Soetomenggolo Sp.A (K) mengenai Manfaat zat besi untuk mencegah anemia dan stunting dan workshop fun activity dari Mederma For Kids.,acara dikemas melalui talkshow kesehatan yang dibawakan oleh dr herbowo agung f soetomenggolo sp a k mengenai manfaat zat besi untuk mencegah anemia dan stunting dan workshop fun activity dari mederma for kids,"['acara', 'dikemas', 'melalui', 'talkshow', 'kesehatan', 'yang', 'dibawakan', 'oleh', 'dr', 'herbowo', 'agung', 'f', 'soetomenggolo', 'sp', 'a', 'k', 'mengenai', 'manfaat', 'zat', 'besi', 'untuk', 'mencegah', 'anemia', 'dan', 'stunting', 'dan', 'workshop', 'fun', 'activity', 'dari', 'mederma', 'for', 'kids']","['acara', 'dikemas', 'melalui', 'talkshow', 'kesehatan', 'yang', 'dibawakan', 'oleh', 'dr', 'herbowo', 'agung', 'f', 'soetomenggolo', 'sp', 'a', 'ke', 'mengenai', 'manfaat', 'zat', 'besi', 'untuk', 'mencegah', 'anemia', 'dan', 'stunting', 'dan', 'workshop', 'fun', 'activity', 'dari', 'mederma', 'for', 'kids']",acara dikemas talkshow kesehatan dibawakan dr herbowo agung f soetomenggolo sp a manfaat zat besi mencegah anemia stunting workshop fun activity mederma for kids,"['acara', 'kemas', 'talkshow', 'sehat', 'bawa', 'dr', 'herbowo', 'agung', 'f', 'soetomenggolo', 'sp', 'a', 'manfaat', 'zat', 'besi', 'cegah', 'anemia', 'stunting', 'workshop', 'fun', 'activity', 'mederma', 'for', 'kids']",neutral,positive
